username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
collins_henzy,"#God first son#
Top model
#nengi's ride or die#",,1702,1425,1471,2019-12-28 22:25:41,2020-10-15 12:52:03,18294,"#EndSWAT isn't trending NUMBER 1!!! TWEET AND RETWEET AGGRESSIVELY!!!
#EndSWAT
#EndSWAT 
#EndSWAT 
#EndSWAT","[{'text': 'EndSWAT', 'indices': [18, 26]}, {'text': 'EndSWAT', 'indices': [88, 96]}, {'text': 'EndSWAT', 'indices': [97, 105]}, {'text': 'EndSWAT', 'indices': [107, 115]}, {'text': 'EndSWAT', 'indices': [117, 125]}]"
AnyanwuUgochu10,,,140,57,871,2019-01-08 15:00:45,2020-10-15 12:52:03,2069,"oya we are giving out data for online protesters, rt this tweet and reply with #EndSARS or #EndSWAT and i’ll dm you to recharge you please 🙏🏾

please don’t dm if you got yesterday 🙏🏾","[{'text': 'EndSARS', 'indices': [99, 107]}, {'text': 'EndSWAT', 'indices': [111, 119]}]"
pxceria,"im mostly inconsistent. 
art",,318,458,10892,2016-05-12 20:27:28,2020-10-15 12:52:03,1,"GOOD MORNING - SARS IS NOT A DISEASE, IT IS HUMAN BEINGS KILLING, EXTORTING AND R*PING INNOCENT PEOPLE IN NIGERIA. 

#EndSWAT","[{'text': 'EndSWAT', 'indices': [132, 140]}]"
kudu_kendor,"I am an event planner,decorator follow us on IG @q_planners_...I love my Deen (Am a muslim), die hard Arsenal, Juventus, Real madrid fan...",,480,193,2459,2017-06-01 21:24:27,2020-10-15 12:52:03,376,"BREAKING: We’ve this morning filed a lawsuit at the Federal High Court Lagos seeking an order of injunction to stop @NigeriaGov President Buhari, @PoliceNG from harassing &amp; arresting #EndSARS protesters/other peaceful protesters across the country &amp; to protect ALL protesters.",[]
_ibinabo_,OAP | Actor | TV Presenter | Host | V.O Artist| SC: ibinabow | IG: @_ibinabo_ | FB: Ibinabo Wakama | ibinabo1912@gmail.com,,199,836,2271,2013-06-26 13:39:44,2020-10-15 12:52:03,6425,I need  1000 #EndSwat under this tweet! We must keep the trend !! Oya ✊🏾✊🏾✊🏾✊🏾,"[{'text': 'EndSwat', 'indices': [30, 38]}]"
Phoeee_nixxx,,,155,103,2448,2019-12-12 23:43:27,2020-10-15 12:52:03,429,"Just In: FCT Security Commitee has ban all #EndSARS protests, demonstrations in Abuja for violating covid-19 rules","[{'text': 'EndSARS', 'indices': [57, 65]}]"
Fadhila_Siraj,You can’t kill the vibe... it’s immortal!,,831,1050,36674,2012-07-23 22:34:26,2020-10-15 12:52:03,2406,Private securities now at Alausa to do the job of the police job for them against thugs disrupting #EndSWAT peaceful protest 💪🏽💪🏽💪🏽 https://t.co/x1bgYDSkxJ,"[{'text': 'EndSWAT', 'indices': [113, 121]}]"
mikenna01,Planning Engineer| Primavera P6 tutor| Ms project tutor,"Port Harcourt, Nigeria",54,31,351,2020-06-30 09:46:51,2020-10-15 12:52:03,1308,"They want to call off ASUU strike now that we are speaking out as youths ✊🏾🔥

They think they can distract us from protesting by reopening schools

Na person wey Dey alive Dey go school oh

Until #EndSWAT and #EndSARS movement is over we are not resuming !",[]
TRooseveld,Depressed arsenal fan/ part time Madrid fan / full-time Juventus fan / Historian/future lawyer/,the underworld ,571,421,4980,2016-08-04 11:25:20,2020-10-15 12:52:03,993,Kwara Governor sef wan Dey disguise for us lmao baba stop protesting with us. Do something !!!! #EndSWAT,"[{'text': 'EndSWAT', 'indices': [110, 118]}]"
Lawrell99,"Unrestrained to touch, So immune to love . #freethinker #XO",1 of the planets but not earth,353,355,9308,2011-09-03 17:44:03,2020-10-15 12:52:03,1262,"Finally he showed up...

600 years of suffering for them.

RT when you see it. 😂😂😂

#SarsMustEnd #EndSWAT https://t.co/OU8jsujZRx","[{'text': 'SarsMustEnd', 'indices': [104, 116]}, {'text': 'EndSWAT', 'indices': [117, 125]}]"
queendemy,,Nigeria,3512,3379,2188,2010-12-20 16:12:48,2020-10-15 12:52:03,6708,Private securities are now at Ikeja #AlausaProtest   #EndSARS   https://t.co/RrQrL22QBq,"[{'text': 'AlausaProtest', 'indices': [51, 65]}, {'text': 'EndSARS', 'indices': [68, 76]}]"
PelumiFaruq,Trouble maker| Man U| Book lover| Game lover.®,"Abuja, Nigeria",1069,450,4005,2016-12-18 15:30:07,2020-10-15 12:52:03,10731,Who is this CSP James Nwafor man and why are there so many allegations against him and he is yet to be suspended and investigated? #EndSWAT #EndSWAT,[]
chidinmakelz,Ola Edo’ m #Queen #Leo #Geologist👷‍♀️,,1006,1188,9430,2019-02-14 16:25:38,2020-10-15 12:52:03,2458,I’m so inspired. My own calling is working to make sure every single one of you guys have your voters card ready for 2023. Who is with me? #EndSARS #EndSWAT,[]
itz_tochii,Arsenal might just kill me😭😭😭,"Port Harcourt, Nigeria",688,435,9820,2017-11-10 12:01:07,2020-10-15 12:52:03,352,Brave mothers !!! ✊🏾✊🏾✊🏾 #EndSWAT #EndPoliceBrutalityinNigeria https://t.co/cTgxF0nQW7,"[{'text': 'EndSWAT', 'indices': [42, 50]}, {'text': 'EndPoliceBrutalityinNigeria', 'indices': [51, 79]}]"
Kalumicheal8,"Materials Engineer {In view}. Critical Thinker, Writer and Fast Learner.","Owerri, Nigeria",4479,1981,5821,2018-04-26 12:48:55,2020-10-15 12:52:03,2957,Kwara state Governor is walking the street with us right now to protest for  #EndSWAT in Ilorin.I don’t even know if I’m to be happy or sad Lmaoo this country don finish 💔,"[{'text': 'EndSWAT', 'indices': [91, 99]}]"
DrusillaIbo,"EMPIRE STATE OF MIND.

Wordsmith. Finance geek. Otaku","Dallas, TX",1085,1281,17844,2013-07-18 22:49:42,2020-10-15 12:52:03,516,"Nearby communities are sealed off from them too because the farmers are tired of digging up shallow buried bodies on their farmlands. Villagers are tired of bodies washing up from their river. They discover as much as 50 bodies daily. 
Get angry. Stay angry. #EndSWAT #EndSARS",[]
agas__5,,,16,10,185,2020-04-04 10:09:20,2020-10-15 12:52:03,179,"Copied*** 

The name of this guy is rasheed adagun.. He is from agege.  These are his facebook details... Adagun osha.... He stays in Morica's  street .. He is always at oju oja market agege. #EndSWAT #EndSARS please rt https://t.co/p3Udzod362",[]
